Temperature - (Celsius), Year,Average, Country, ISO3
28,1980, Jan , Australia, AUS
27.4,1980, Feb , Australia, AUS
26.3,1980, Mar , Australia, AUS
22.5,1980, Apr , Australia, AUS
19,1980, May , Australia, AUS
15.2,1980, Jun , Australia, AUS
14.1,1980, Jul , Australia, AUS
16.6,1980, Aug , Australia, AUS
20.4,1980, Sep , Australia, AUS
22.8,1980, Oct , Australia, AUS
26.4,1980, Nov , Australia, AUS
27.6,1980, Dec , Australia, AUS
28.3,1981, Jan , Australia, AUS
27.2,1981, Feb , Australia, AUS
24.6,1981, Mar , Australia, AUS
23.4,1981, Apr , Australia, AUS
18.1,1981, May , Australia, AUS
14.5,1981, Jun , Australia, AUS
14.5,1981, Jul , Australia, AUS
16.2,1981, Aug , Australia, AUS
20.4,1981, Sep , Australia, AUS
22.5,1981, Oct , Australia, AUS
24.2,1981, Nov , Australia, AUS
27.3,1981, Dec , Australia, AUS
28.5,1982, Jan , Australia, AUS
27.5,1982, Feb , Australia, AUS
24.8,1982, Mar , Australia, AUS
21.9,1982, Apr , Australia, AUS
17.8,1982, May , Australia, AUS
13.5,1982, Jun , Australia, AUS
13,1982, Jul , Australia, AUS
17.2,1982, Aug , Australia, AUS
18.7,1982, Sep , Australia, AUS
21.9,1982, Oct , Australia, AUS
26.4,1982, Nov , Australia, AUS
27.9,1982, Dec , Australia, AUS
27.9,1983, Jan , Australia, AUS
29.2,1983, Feb , Australia, AUS
25.9,1983, Mar , Australia, AUS
20.6,1983, Apr , Australia, AUS
18.3,1983, May , Australia, AUS
15,1983, Jun , Australia, AUS
13.2,1983, Jul , Australia, AUS
16.6,1983, Aug , Australia, AUS
20.5,1983, Sep , Australia, AUS
23.1,1983, Oct , Australia, AUS
25.1,1983, Nov , Australia, AUS
27.1,1983, Dec , Australia, AUS
26.4,1984, Jan , Australia, AUS
26.9,1984, Feb , Australia, AUS
24.2,1984, Mar , Australia, AUS
21.6,1984, Apr , Australia, AUS
18.3,1984, May , Australia, AUS
14.9,1984, Jun , Australia, AUS
13.3,1984, Jul , Australia, AUS
15.8,1984, Aug , Australia, AUS
17.5,1984, Sep , Australia, AUS
22.5,1984, Oct , Australia, AUS
25.4,1984, Nov , Australia, AUS
26.9,1984, Dec , Australia, AUS
28.4,1985, Jan , Australia, AUS
28.1,1985, Feb , Australia, AUS
26.4,1985, Mar , Australia, AUS
21.9,1985, Apr , Australia, AUS
18.1,1985, May , Australia, AUS
14.2,1985, Jun , Australia, AUS
14.2,1985, Jul , Australia, AUS
16.5,1985, Aug , Australia, AUS
18.5,1985, Sep , Australia, AUS
21.9,1985, Oct , Australia, AUS
25.3,1985, Nov , Australia, AUS
26.7,1985, Dec , Australia, AUS
27.8,1986, Jan , Australia, AUS
27.7,1986, Feb , Australia, AUS
27,1986, Mar , Australia, AUS
22.4,1986, Apr , Australia, AUS
18.6,1986, May , Australia, AUS
15.2,1986, Jun , Australia, AUS
13.8,1986, Jul , Australia, AUS
15,1986, Aug , Australia, AUS
19.4,1986, Sep , Australia, AUS
21.4,1986, Oct , Australia, AUS
24.9,1986, Nov , Australia, AUS
26.8,1986, Dec , Australia, AUS
27.8,1987, Jan , Australia, AUS
26.8,1987, Feb , Australia, AUS
24.6,1987, Mar , Australia, AUS
22.8,1987, Apr , Australia, AUS
17.8,1987, May , Australia, AUS
15.8,1987, Jun , Australia, AUS
14.2,1987, Jul , Australia, AUS
15.7,1987, Aug , Australia, AUS
19.2,1987, Sep , Australia, AUS
22.2,1987, Oct , Australia, AUS
25.5,1987, Nov , Australia, AUS
27.1,1987, Dec , Australia, AUS
28.9,1988, Jan , Australia, AUS
27,1988, Feb , Australia, AUS
26,1988, Mar , Australia, AUS
22.4,1988, Apr , Australia, AUS
19,1988, May , Australia, AUS
15.8,1988, Jun , Australia, AUS
15,1988, Jul , Australia, AUS
16.4,1988, Aug , Australia, AUS
20,1988, Sep , Australia, AUS
24.5,1988, Oct , Australia, AUS
24.7,1988, Nov , Australia, AUS
26.7,1988, Dec , Australia, AUS
27.5,1989, Jan , Australia, AUS
27.6,1989, Feb , Australia, AUS
25.3,1989, Mar , Australia, AUS
22.1,1989, Apr , Australia, AUS
18.7,1989, May , Australia, AUS
13.9,1989, Jun , Australia, AUS
13.5,1989, Jul , Australia, AUS
14.5,1989, Aug , Australia, AUS
19.3,1989, Sep , Australia, AUS
22.8,1989, Oct , Australia, AUS
24.8,1989, Nov , Australia, AUS
27.2,1989, Dec , Australia, AUS
