Year,January,February,March,April,May,June,July,August,September,October,November,December,,Month
2018,0.76,0.77,0.89,0.85,0.82,0.78,0.83,0.8,0.83,0.93,0.79,0.89,,January
2019,0.94,0.86,1.1,0.97,0.87,0.95,0.93,0.92,0.94,0.95,0.92,1.05,,February
2020,1.14,1.17,1.18,1.05,0.95,0.92,0.92,0.94,0.94,0.83,0.95,0.78,,March
,,,,,,,,,,,,,,April
,,,,,,,,,,,,,,May
,,,,,,,,,,,,,,June
,,,,,,,,,,,,,,July
,,,,,,,,,,,,,,August
,,,,,,,,,,,,,,September
,,,,,,,,,,,,,,October
,,,,,,,,,,,,,,November
,,,,,,,,,,,,,,December
