Temperature (Celsius),Year,Average, Country, ISO3
28,1980, January , Australia, AUS
27.4,1980, February , Australia, AUS
26.3,1980, March , Australia, AUS
22.5,1980, April , Australia, AUS
19,1980, May , Australia, AUS
15.2,1980, June , Australia, AUS
14.1,1980, July , Australia, AUS
16.6,1980, August , Australia, AUS
20.4,1980, September , Australia, AUS
22.8,1980, October , Australia, AUS
26.4,1980, November , Australia, AUS
27.6,1980, December , Australia, AUS
28.3,1981, January , Australia, AUS
27.2,1981, February , Australia, AUS
24.6,1981, March , Australia, AUS
23.4,1981, April , Australia, AUS
18.1,1981, May , Australia, AUS
14.5,1981, June , Australia, AUS
14.5,1981, July , Australia, AUS
16.2,1981, August , Australia, AUS
20.4,1981, September , Australia, AUS
22.5,1981, October , Australia, AUS
24.2,1981, November , Australia, AUS
27.3,1981, December , Australia, AUS
28.5,1982, January , Australia, AUS
27.5,1982, February , Australia, AUS
24.8,1982, March , Australia, AUS
21.9,1982, April , Australia, AUS
17.8,1982, May , Australia, AUS
13.5,1982, June , Australia, AUS
13,1982, July , Australia, AUS
17.2,1982, August , Australia, AUS
18.7,1982, September , Australia, AUS
21.9,1982, October , Australia, AUS
26.4,1982, November , Australia, AUS
27.9,1982, December , Australia, AUS
27.9,1983, January , Australia, AUS
29.2,1983, February , Australia, AUS
25.9,1983, March , Australia, AUS
20.6,1983, April , Australia, AUS
18.3,1983, May , Australia, AUS
15,1983, June , Australia, AUS
13.2,1983, July , Australia, AUS
16.6,1983, August , Australia, AUS
20.5,1983, September , Australia, AUS
23.1,1983, October , Australia, AUS
25.1,1983, November , Australia, AUS
27.1,1983, December , Australia, AUS
26.4,1984, January , Australia, AUS
26.9,1984, February , Australia, AUS
24.2,1984, March , Australia, AUS
21.6,1984, April , Australia, AUS
18.3,1984, May , Australia, AUS
14.9,1984, June , Australia, AUS
13.3,1984, July , Australia, AUS
15.8,1984, August , Australia, AUS
17.5,1984, September , Australia, AUS
22.5,1984, October , Australia, AUS
25.4,1984, November , Australia, AUS
26.9,1984, December , Australia, AUS
28.4,1985, January , Australia, AUS
28.1,1985, February , Australia, AUS
26.4,1985, March , Australia, AUS
21.9,1985, April , Australia, AUS
18.1,1985, May , Australia, AUS
14.2,1985, June , Australia, AUS
14.2,1985, July , Australia, AUS
16.5,1985, August , Australia, AUS
18.5,1985, September , Australia, AUS
21.9,1985, October , Australia, AUS
25.3,1985, November , Australia, AUS
26.7,1985, December , Australia, AUS
27.8,1986, January , Australia, AUS
27.7,1986, February , Australia, AUS
27,1986, March , Australia, AUS
22.4,1986, April , Australia, AUS
18.6,1986, May , Australia, AUS
15.2,1986, June , Australia, AUS
13.8,1986, July , Australia, AUS
15,1986, August , Australia, AUS
19.4,1986, September , Australia, AUS
21.4,1986, October , Australia, AUS
24.9,1986, November , Australia, AUS
26.8,1986, December , Australia, AUS
27.8,1987, January , Australia, AUS
26.8,1987, February , Australia, AUS
24.6,1987, March , Australia, AUS
22.8,1987, April , Australia, AUS
17.8,1987, May , Australia, AUS
15.8,1987, June , Australia, AUS
14.2,1987, July , Australia, AUS
15.7,1987, August , Australia, AUS
19.2,1987, September , Australia, AUS
22.2,1987, October , Australia, AUS
25.5,1987, November , Australia, AUS
27.1,1987, December , Australia, AUS
28.9,1988, January , Australia, AUS
27,1988, February , Australia, AUS
26,1988, March , Australia, AUS
22.4,1988, April , Australia, AUS
19,1988, May , Australia, AUS
15.8,1988, June , Australia, AUS
15,1988, July , Australia, AUS
16.4,1988, August , Australia, AUS
20,1988, September , Australia, AUS
24.5,1988, October , Australia, AUS
24.7,1988, November , Australia, AUS
26.7,1988, December , Australia, AUS
27.5,1989, January , Australia, AUS
27.6,1989, February , Australia, AUS
25.3,1989, March , Australia, AUS
22.1,1989, April , Australia, AUS
18.7,1989, May , Australia, AUS
13.9,1989, June , Australia, AUS
13.5,1989, July , Australia, AUS
14.5,1989, August , Australia, AUS
19.3,1989, September , Australia, AUS
22.8,1989, October , Australia, AUS
24.8,1989, November , Australia, AUS
27.2,1989, December , Australia, AUS
