Temperature (Celsius),Year,Month, Country, ISO3
28.2,2010, Jan , Australia, AUS
27.5,2010, Feb , Australia, AUS
25.3,2010, Mar , Australia, AUS
22.7,2010, Apr , Australia, AUS
17.8,2010, May , Australia, AUS
14.7,2010, Jun , Australia, AUS
14.4,2010, Jul , Australia, AUS
15.3,2010, Aug , Australia, AUS
18.6,2010, Sep , Australia, AUS
21.7,2010, Oct , Australia, AUS
24.4,2010, Nov , Australia, AUS
26.1,2010, Dec , Australia, AUS
28.3,2011, Jan , Australia, AUS
26.6,2011, Feb , Australia, AUS
24.1,2011, Mar , Australia, AUS
21.3,2011, Apr , Australia, AUS
16.6,2011, May , Australia, AUS
14.3,2011, Jun , Australia, AUS
14.5,2011, Jul , Australia, AUS
16.7,2011, Aug , Australia, AUS
19.1,2011, Sep , Australia, AUS
22.8,2011, Oct , Australia, AUS
25.4,2011, Nov , Australia, AUS
26.5,2011, Dec , Australia, AUS
27.9,2012, Jan , Australia, AUS
26.7,2012, Feb , Australia, AUS
24.3,2012, Mar , Australia, AUS
21.9,2012, Apr , Australia, AUS
17.3,2012, May , Australia, AUS
14.4,2012, Jun , Australia, AUS
13.6,2012, Jul , Australia, AUS
16,2012, Aug , Australia, AUS
20,2012, Sep , Australia, AUS
23.2,2012, Oct , Australia, AUS
26.4,2012, Nov , Australia, AUS
28,2012, Dec , Australia, AUS
29.4,2013, Jan , Australia, AUS
27.8,2013, Feb , Australia, AUS
26,2013, Mar , Australia, AUS
22.9,2013, Apr , Australia, AUS
18.8,2013, May , Australia, AUS
15.5,2013, Jun , Australia, AUS
15.3,2013, Jul , Australia, AUS
17.3,2013, Aug , Australia, AUS
21.3,2013, Sep , Australia, AUS
23.8,2013, Oct , Australia, AUS
25.6,2013, Nov , Australia, AUS
27.5,2013, Dec , Australia, AUS
28.8,2014, Jan , Australia, AUS
27.3,2014, Feb , Australia, AUS
26.2,2014, Mar , Australia, AUS
22.9,2014, Apr , Australia, AUS
19.5,2014, May , Australia, AUS
15.3,2014, Jun , Australia, AUS
14.4,2014, Jul , Australia, AUS
15.9,2014, Aug , Australia, AUS
20.1,2014, Sep , Australia, AUS
24.3,2014, Oct , Australia, AUS
26.8,2014, Nov , Australia, AUS
27.8,2014, Dec , Australia, AUS
27.8,2015, Jan , Australia, AUS
28.8,2015, Feb , Australia, AUS
26,2015, Mar , Australia, AUS
21.2,2015, Apr , Australia, AUS
17.7,2015, May , Australia, AUS
16.1,2015, Jun , Australia, AUS
14.4,2015, Jul , Australia, AUS
16.3,2015, Aug , Australia, AUS
19.2,2015, Sep , Australia, AUS
24.6,2015, Oct , Australia, AUS
26.9,2015, Nov , Australia, AUS
27.9,2015, Dec , Australia, AUS
28.3,2016, Jan , Australia, AUS
28.2,2016, Feb , Australia, AUS
26.9,2016, Mar , Australia, AUS
23.7,2016, Apr , Australia, AUS
19.6,2016, May , Australia, AUS
16,2016, Jun , Australia, AUS
14.8,2016, Jul , Australia, AUS
16.1,2016, Aug , Australia, AUS
18.8,2016, Sep , Australia, AUS
22,2016, Oct , Australia, AUS
25.7,2016, Nov , Australia, AUS
27.5,2016, Dec , Australia, AUS
28.5,2017, Jan , Australia, AUS
27.7,2017, Feb , Australia, AUS
26.8,2017, Mar , Australia, AUS
21.9,2017, Apr , Australia, AUS
18.5,2017, May , Australia, AUS
15.2,2017, Jun , Australia, AUS
15.5,2017, Jul , Australia, AUS
16.7,2017, Aug , Australia, AUS
20.1,2017, Sep , Australia, AUS
23.8,2017, Oct , Australia, AUS
25.8,2017, Nov , Australia, AUS
28,2017, Dec , Australia, AUS
29,2018, Jan , Australia, AUS
27.9,2018, Feb , Australia, AUS
26.2,2018, Mar , Australia, AUS
23.8,2018, Apr , Australia, AUS
18.1,2018, May , Australia, AUS
15.1,2018, Jun , Australia, AUS
15.1,2018, Jul , Australia, AUS
15.7,2018, Aug , Australia, AUS
19.4,2018, Sep , Australia, AUS
24.1,2018, Oct , Australia, AUS
25.7,2018, Nov , Australia, AUS
28.6,2018, Dec , Australia, AUS
29.9,2019, Jan , Australia, AUS
28.1,2019, Feb , Australia, AUS
26.9,2019, Mar , Australia, AUS
22.8,2019, Apr , Australia, AUS
18.3,2019, May , Australia, AUS
15,2019, Jun , Australia, AUS
15.4,2019, Jul , Australia, AUS
15.9,2019, Aug , Australia, AUS
19.8,2019, Sep , Australia, AUS
24.3,2019, Oct , Australia, AUS
26,2019, Nov , Australia, AUS
29.6,2019, Dec , Australia, AUS
