 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
Table B24 :,,,
"Input, output and TFP estimates, Australia, Beef, 1977–78 to 2019–20",,,
,,,
Year,Input,Output,TFP
1977–78,100,100,100
1978–79,86,84,98
1979–80,96,90,94
1980–81,90,90,101
1981–82,87,89,102
1982–83,83,75,91
1983–84,73,73,99
1984–85,79,80,101
1985–86,66,68,104
1986–87,65,67,102
1987–88,62,64,103
1988–89,65,70,108
1989–90,74,88,118
1990–91,71,79,111
1991–92,70,78,111
1992–93,77,95,123
1993–94,75,95,126
1994–95,79,97,123
1995–96,73,96,131
1996–97,69,100,146
1997–98,69,93,134
1998–99,65,88,135
1999–2000,72,94,130
2000–01,76,99,130
2001–02,75,94,125
2002–03,90,110,122
2003–04,86,108,125
2004–05,88,121,139
2005–06,90,123,137
2006–07,92,140,153
2007–08,79,116,146
2008–09,76,104,136
2009–10,79,109,139
2010–11,73,103,142
2011–12,72,100,139
2012–13,78,109,140
2013–14,86,114,133
2014–15,88,105,119
2015–16,84,101,121
2016–17,79,95,120
2017–18,86,110,128
2018–19,97,115,119
2019–20,99,108,109
,,,
Note: 1977–78=100.,,,
Source: ABARES Australian Agricultural Grazing Industries Survey,,,
,,,
